City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
235,champerico,40,MX,1561498753,52,16.38,-93.6,91.4,6.93
236,gazli,0,UZ,1561498816,11,40.13,63.45,81.79,8.84
237,solnechnyy,79,RU,1561498715,80,50.72,136.64,45.97,6.15
238,arman,85,RU,1561498817,61,59.7,150.17,51.73,3.33
239,rockland,90,US,1561498817,83,42.13,-70.92,72.0,5.82
240,bathsheba,20,BB,1561498741,70,13.22,-59.52,84.2,20.8
241,lata,85,IN,1561498817,93,30.78,78.62,40.57,0.98
242,pustoshka,100,RU,1561498818,80,56.34,29.37,61.09,5.1
243,buchanan,40,LR,1561498697,94,5.88,-10.05,77.0,16.71
244,ban tak,100,TH,1561498818,91,17.04,99.08,74.41,4.68
245,sabzevar,0,IR,1561498818,19,36.21,57.68,76.21,4.83
246,tazovskiy,32,RU,1561498818,72,67.47,78.7,38.41,9.15
247,neijiang,94,CN,1561498818,97,29.59,105.06,68.65,3.6
248,alofi,100,NU,1561498581,73,-19.06,-169.92,77.47,17.22
249,ekibastuz,0,KZ,1561498819,59,51.72,75.32,69.73,10.92
250,xai-xai,0,MZ,1561498673,81,-25.04,33.64,62.35,4.14
251,kupang,48,ID,1561498764,71,-10.16,123.6,73.69,16.62
252,kula,0,RS,1561498819,88,45.61,19.53,71.6,3.36
253,khatanga,100,RU,1561498699,73,71.98,102.47,62.35,10.74
254,saldanha,4,PT,1561498704,74,41.42,-6.55,63.43,3.51
255,las lomas,16,PE,1561498819,36,-4.66,-80.24,86.29,7.92
256,yeppoon,90,AU,1561498820,87,-23.13,150.74,59.0,6.93
257,namanyere,0,TZ,1561498820,52,-7.51,31.05,60.91,5.61
258,dongsheng,32,CN,1561498820,84,29.72,112.52,72.07,3.42
259,san quintin,100,PH,1561498754,87,17.54,120.52,76.21,3.18
260,grindavik,75,IS,1561498739,87,63.84,-22.43,51.8,21.92
261,richards bay,35,ZA,1561498699,68,-28.77,32.06,69.19,7.18
262,kefamenanu,0,ID,1561498820,50,-9.45,124.48,62.71,4.63
263,igunga,96,TZ,1561498821,46,-4.28,33.88,74.23,5.41
264,vestmanna,67,FO,1561498705,87,62.16,-7.17,51.8,8.05
265,ust-kuyga,4,RU,1561498821,43,70.0,135.55,71.71,2.95
266,thaba nchu,58,ZA,1561498821,64,-29.2,26.83,33.8,4.7
267,guaruja,0,BR,1561498821,78,-23.99,-46.26,75.2,3.36
268,broome,90,GB,1561498733,100,52.47,1.45,63.0,5.82
269,qom,0,IR,1561498821,13,34.64,50.88,85.93,5.39
270,honiara,20,SB,1561498764,88,-9.43,159.96,78.8,3.56
271,evensk,0,RU,1561498822,55,61.92,159.24,60.37,13.96
272,sabha,0,LY,1561498822,11,27.03,14.43,96.19,9.78
273,greenwood,1,US,1561498763,25,32.03,-101.9,98.6,14.99
274,tezze sul brenta,39,IT,1561498822,69,45.69,11.7,84.0,1.12
275,mugur-aksy,0,RU,1561498822,83,50.38,90.44,25.09,3.65
276,talnakh,75,RU,1561498719,93,69.49,88.39,37.4,6.71
277,acari,98,BR,1561498822,44,-6.44,-36.64,83.23,18.01
278,glushkovo,87,RU,1561498823,89,51.34,34.64,59.83,6.33
279,smithers,75,CA,1561498714,52,54.78,-127.17,66.2,6.93
280,komsomolets,22,RU,1561498823,77,52.77,41.29,55.51,6.53
281,umea,0,SE,1561498823,82,63.83,20.26,55.4,2.46
282,trelew,34,AR,1561498586,47,-43.25,-65.31,41.11,4.76
283,maceio,0,BR,1561498744,73,-9.67,-35.74,75.2,3.36
284,doha,0,QA,1561498671,66,25.29,51.53,91.4,6.93
285,lahaina,75,US,1561498824,65,20.87,-156.68,89.6,5.82
286,tigzirt,0,DZ,1561498824,11,36.57,4.2,88.09,11.99
287,namibe,60,AO,1561498722,83,-15.19,12.15,65.77,12.73
288,mandalgovi,63,MN,1561498824,47,45.76,106.27,58.39,11.72
289,pahrump,75,US,1561498678,7,36.21,-115.98,97.0,17.22
290,antofagasta,20,CL,1561498720,77,-23.65,-70.4,59.0,12.75
291,high prairie,15,CA,1561498824,75,55.43,-116.48,64.87,6.55
292,mahajanga,20,MG,1561498824,94,-15.72,46.32,75.2,2.24
293,peto,52,MX,1561498825,26,20.13,-88.92,101.95,8.43
294,coquimbo,0,CL,1561498568,58,-29.95,-71.34,57.2,11.41
295,kharan,0,PK,1561498825,49,28.58,65.42,81.43,5.91
296,los llanos de aridane,75,ES,1561498664,73,28.66,-17.92,71.6,17.22
297,itarema,10,BR,1561498722,82,-2.92,-39.92,75.67,7.74
298,te anau,4,NZ,1561498723,82,-45.41,167.72,38.41,5.93
299,san jose,97,PH,1561498699,91,15.79,120.99,77.11,2.48
300,myitkyina,100,MM,1561498826,99,25.38,97.4,72.43,1.32
301,wajir,76,KE,1561498826,62,1.75,40.07,79.99,19.91
302,souillac,0,FR,1561498718,65,45.6,-0.6,78.8,6.93
